Numero,Titolo,Descrizione
1,Un piccolo grande detective ,(Ran e Shinichi al parco divertimenti)(Fanno la loro prima comparsa Gin e Vodka)
14,Dov'è papà ,(Banda di ladri Fa la sua prima comparsa Hakemi)
39,L'amico del cuore  ,(Conan si lamenta perché non trova indizi sugli uomini in nero) [Evento collegato a tre mesi prima](Goro si accorge di essere un babbeo)
56,Chi è il colpevole? ,(Appare Tequila)(Curioso come Goro entra in trans)
122,Il giallista scomparso parte 1 ,(Scompare uno scrittore)(Accenni uomini in nero)
123,Il giallista scomparso parte 2,
135,Rapina in banca ,(Hakemi muore)
136,La nuova studentessa parte 1 ,"(Fa la sua prima comparsa Sherry, chiamata Ai da Agasa, colei che ha creato L'APTX4869) [Riferimento all'episodio 16, Genta spera che il nuovo caso da risolvere non sia quello di un gatto scomparso"
137,La nuova studentessa parte 2,
138,La nuova studentessa parte 3,
139,La nuova studentessa parte 4,
140,Minaccia allo stadio parte 1 ,(Ai rivela di avere 18 anni) [è Capodanno]
141,Minaccia allo stadio parte 2,
148,L'ultimo spettacolo parte 1 ,(Delitto al cinema)(Ai accenna all'organizzazione) [è la giornata del cinema ovvero fine Maggio primi di Giugno]
172,Il primo caso di Shinichi parte 1 ,(Delitto in aereo Fotografie)
173,Il primo caso di Shinichi parte 2 ,(Ran e Shinichi si dirigono a NY come poi avverrà nell'episodio 308)
190,Incontro indesiderato parte 1 ,(Ai sogna di venire uccisa da Gin)
191,Incontro indesiderato parte 2 ,(Pisco e Vermouth compiono un delitto)(Ai beve del Baijiu per ritornare adulta)
192,Incontro indesiderato parte 3 ,"(Gin ferisce Sherry ed uccide Pisco)(Forse Ai non ha perso il disco con i dati dell'APXT, ha semplicemente mentito a Conan)"
203,In fuga nella caverna ,(Conan viene ferito per colpa dei giovani detective)
204,Il detective ferito ,(I bambini escono dalla caverna Ran crede fermamente che Conan è Shinichi)
205,Omicidio durante la recita ,(Ghiaccio nella bevanda)
206,Il cavaliere nero ,(Ran rimane sorpresa perché vede insieme Conan e Shinichi)
207,Il ritorno di Shinichi,
208,Omicidio guastafeste ,(Shinichi cerca di dire ciò che prova a Ran ma deve risolvere un caso così come fece suo padre tempo fa)
235,La leggenda di Furto Kid parte 1,
